working_set_size_bytes,time_per_access_cycles
4096,16.85
4505,16.24
4955,16.08
5450,15.92
5995,15.77
6594,15.63
7253,15.52
7978,15.42
8775,15.36
9652,16.99
10617,15.15
11678,15.07
12845,15.00
14129,14.93
15541,14.90
17095,14.83
18804,14.81
20684,14.76
22752,15.36
25027,14.68
27529,14.63
30281,14.63
33309,14.58
36639,1414.49
40302,14.54
44332,14.52
48765,14.51
53641,14.85
59005,14.51
64905,14.72
71395,14.47
78534,14.46
86387,14.64
95025,14.66
104527,14.43
114979,14.54
126476,14.56
139123,14.41
153035,14.61
168338,258.06
185171,14.49
203688,14.55
224056,14.45
246461,14.45
271107,14.49
298217,186.44
328038,14.42
360841,14.53
396925,14.48
436617,131.89
480278,14.50
528305,14.49
581135,120.39
639248,14.52
703172,87.46
773489,14.49
850837,74.79
935920,55.65
1029512,14.46
1132463,59.81
1245709,55.71
1370279,44.49
1507306,48.58
1658036,45.49
1823839,65.29
2006222,45.23
2206844,56.49
2427528,35.69
2670280,49.23
2937308,64.89
3231038,45.92
3554141,72.84
3909555,54.92
4300510,63.71
4730561,57.38
5203617,63.82
5723978,59.67
6296375,65.64
6926012,60.01
7618613,61.69
8380474,65.38
9218521,65.17
10140373,62.46
11154410,66.08
12269851,62.80
13496836,64.32
14846519,68.26
16331170,67.41
17964287,69.39
19760715,72.44
21736786,75.74
23910464,83.76
26301510,85.96
28931661,87.98
31824827,92.01
35007309,91.92
38508039,94.46
42358842,94.82
46594726,96.01
51254198,96.78
56379617,97.46
62017578,97.16
68219335,97.44
75041268,97.74
82545394,98.24
90799933,97.44
99879926,98.29
109867918,106.82
120854709,99.01
132940179,107.54
146234196,117.30
160857615,117.16
176943376,117.00
194637713,117.16
