type,stride,run,cycles_per_access
sequential,1,0,6.20
stride,2,0,6.58
stride,4,0,7.44
stride,8,0,10.07
stride,16,0,17.75
stride,32,0,18.54
stride,64,0,18.35
stride,128,0,18.46
stride,256,0,18.25
stride,512,0,20.56
stride,1024,0,18.42
random,NA,0,19.33
sequential,1,1,6.25
stride,2,1,6.58
stride,4,1,7.42
stride,8,1,10.03
stride,16,1,17.79
stride,32,1,18.36
stride,64,1,18.37
stride,128,1,19.27
stride,256,1,18.38
stride,512,1,18.29
stride,1024,1,18.36
random,NA,1,19.34
sequential,1,2,6.20
stride,2,2,6.58
stride,4,2,7.43
stride,8,2,10.03
stride,16,2,17.81
stride,32,2,18.47
stride,64,2,18.40
stride,128,2,18.65
stride,256,2,18.39
stride,512,2,18.24
stride,1024,2,18.46
random,NA,2,19.30
sequential,1,3,6.21
stride,2,3,6.58
stride,4,3,7.41
stride,8,3,10.04
stride,16,3,17.75
stride,32,3,18.32
stride,64,3,18.36
stride,128,3,18.31
stride,256,3,18.37
stride,512,3,18.47
stride,1024,3,18.58
random,NA,3,19.28
sequential,1,4,6.20
stride,2,4,6.67
stride,4,4,7.43
stride,8,4,10.04
stride,16,4,17.81
stride,32,4,18.41
stride,64,4,18.54
stride,128,4,18.49
stride,256,4,18.40
stride,512,4,18.33
stride,1024,4,18.60
random,NA,4,19.30
sequential,1,5,6.20
stride,2,5,6.60
stride,4,5,7.41
stride,8,5,10.04
stride,16,5,17.80
stride,32,5,18.38
stride,64,5,18.38
stride,128,5,18.33
stride,256,5,18.26
stride,512,5,18.29
stride,1024,5,18.58
random,NA,5,19.34
sequential,1,6,6.20
stride,2,6,6.58
stride,4,6,7.42
stride,8,6,10.04
stride,16,6,17.81
stride,32,6,18.40
stride,64,6,18.39
stride,128,6,18.41
stride,256,6,18.44
stride,512,6,18.40
stride,1024,6,18.45
random,NA,6,19.26
sequential,1,7,6.22
stride,2,7,6.57
stride,4,7,7.41
stride,8,7,10.03
stride,16,7,17.75
stride,32,7,18.34
stride,64,7,18.39
stride,128,7,18.34
stride,256,7,18.37
stride,512,7,18.23
stride,1024,7,18.43
random,NA,7,19.40
sequential,1,8,6.20
