stride_bytes,run,avg_cycles_per_access
1,0,1.96
1,1,1.95
1,2,1.95
1,3,37.41
1,4,1.95
1,5,5.28
1,6,1.95
1,7,1.94
1,8,1.98
1,9,1.96
1,10,3.28
1,11,1.95
1,12,1.94
1,13,43.64
1,14,1.95
1,15,1.95
1,16,1.95
1,17,2.50
1,18,1.95
1,19,1.95
1,20,34.65
1,21,1.95
1,22,1.95
1,23,1.95
1,24,3.50
1,25,1.95
1,26,1.95
1,27,1.95
1,28,2.29
1,29,1.95
1,30,1.95
1,31,50.89
1,32,1.95
1,33,1.95
1,34,1.95
1,35,3.25
1,36,1.95
1,37,1.94
1,38,1.94
1,39,2.49
1,40,1.95
1,41,1.96
1,42,51.61
1,43,1.95
1,44,1.95
1,45,1.95
1,46,2.60
1,47,1.95
1,48,1.95
1,49,34.82
2,0,2.19
2,1,2.03
2,2,45.17
2,3,2.09
2,4,2.05
2,5,37.48
2,6,2.06
2,7,2.05
2,8,4.85
2,9,2.06
2,10,2.06
2,11,4.46
2,12,2.07
2,13,2.04
2,14,36.72
2,15,2.08
2,16,2.04
2,17,36.24
2,18,2.07
2,19,2.04
2,20,43.25
2,21,2.11
2,22,2.04
2,23,2.03
2,24,2.38
2,25,2.06
2,26,2.04
2,27,3.27
2,28,2.06
2,29,2.04
2,30,4.11
2,31,2.07
2,32,2.05
2,33,35.41
2,34,2.08
2,35,2.04
2,36,42.21
2,37,2.18
2,38,2.06
2,39,2.05
2,40,3.63
2,41,2.06
2,42,2.05
2,43,3.95
2,44,2.07
2,45,2.04
2,46,35.55
2,47,2.08
2,48,2.04
2,49,42.35
4,0,7.00
4,1,5.38
4,2,4.25
4,3,4.76
4,4,36.72
4,5,4.25
4,6,5.06
4,7,4.26
4,8,5.24
4,9,52.48
4,10,4.59
4,11,36.93
4,12,4.25
4,13,5.08
4,14,4.26
4,15,4.72
4,16,36.60
4,17,4.33
4,18,52.98
4,19,4.32
4,20,4.26
4,21,4.24
4,22,4.24
4,23,4.26
4,24,4.26
4,25,36.28
4,26,4.25
4,27,44.28
4,28,4.26
4,29,42.31
4,30,4.24
4,31,36.30
4,32,4.22
4,33,4.25
4,34,4.24
4,35,4.25
4,36,4.25
4,37,4.25
4,38,4.25
4,39,4.23
4,40,4.24
4,41,4.23
4,42,36.28
4,43,4.24
4,44,44.31
4,45,4.26
4,46,44.31
4,47,4.23
4,48,36.30
4,49,4.22
8,0,6.77
8,1,36.51
8,2,4.43
8,3,4.43
8,4,4.42
8,5,4.39
8,6,36.43
8,7,4.39
8,8,36.44
8,9,4.40
8,10,44.45
8,11,4.39
8,12,4.39
8,13,4.39
8,14,4.39
8,15,4.39
8,16,4.38
8,17,36.42
8,18,4.39
8,19,36.42
8,20,4.40
8,21,4.39
8,22,4.40
8,23,4.42
8,24,4.39
8,25,4.38
8,26,44.43
8,27,4.39
8,28,36.44
8,29,4.46
8,30,36.44
8,31,4.39
8,32,4.41
8,33,4.39
8,34,4.40
8,35,36.45
8,36,4.39
8,37,44.45
