run,l1_hit,l2_hit,l3_hit,ram_access
0,50,54,444,440
1,50,58,118,438
2,54,58,498,432
3,54,56,114,440
4,54,56,116,436
5,54,56,108,508
6,54,58,116,438
7,52,54,126,478
8,56,58,496,440
9,52,54,118,440
10,52,56,116,440
11,52,58,118,442
12,54,54,110,448
13,52,56,122,436
14,56,56,428,430
15,56,56,122,440
16,52,54,118,438
17,54,56,118,482
18,48,54,116,436
19,52,56,118,446
20,54,54,118,468
21,52,56,496,440
22,50,56,116,442
23,52,58,114,436
24,52,54,118,438
25,52,56,110,426
26,54,54,114,438
27,54,58,502,434
28,52,58,120,438
29,56,58,114,444
30,50,54,112,440
31,50,54,112,442
32,52,56,114,446
33,54,58,114,664
34,52,430,122,436
35,50,56,116,440
36,56,56,108,444
37,54,54,120,426
38,48,58,108,518
39,52,58,114,440
40,52,54,496,432
41,54,54,118,440
42,54,56,118,428
43,50,58,112,428
44,54,56,122,478
45,52,56,118,438
46,54,56,480,444
47,50,52,108,512
48,52,58,114,444
49,54,52,112,438
50,50,56,116,430
51,56,56,116,438
52,52,54,124,436
53,52,58,516,440
54,52,56,116,436
55,52,52,118,442
56,52,56,108,430
57,56,58,118,434
58,52,56,116,440
59,52,56,500,516
60,52,58,118,442
61,54,56,118,434
62,54,62,116,740
63,52,56,118,432
64,54,54,114,432
65,50,56,496,504
66,52,56,116,488
67,54,56,120,436
68,54,56,118,434
69,52,62,120,430
70,52,54,116,438
71,50,54,118,440
72,50,58,496,430
73,50,54,118,430
74,52,56,108,442
75,52,58,108,446
76,54,56,108,436
77,50,58,124,434
78,52,56,492,440
79,52,56,118,444
80,50,54,118,498
81,50,58,118,432
82,50,54,116,434
83,50,58,114,730
84,54,56,426,440
85,54,56,118,428
86,54,56,110,442
87,54,54,112,450
88,52,58,114,432
89,50,54,110,436
90,54,56,118,444
91,50,56,474,520
92,52,56,114,640
93,52,58,110,434
94,56,56,120,438
95,54,58,116,436
96,56,58,116,438
97,54,54,488,822
98,52,58,118,444
99,50,58,112,448
100,52,56,110,428
101,50,58,116,440
102,50,54,118,434
103,52,56,432,438
104,52,56,116,438
105,52,52,110,428
106,52,58,114,438
107,52,58,120,426
108,52,56,118,446
109,52,54,114,438
110,54,54,474,440
111,50,58,112,440
112,54,60,114,448
113,54,52,120,432
114,54,58,116,620
115,50,58,120,728
116,54,56,490,434
117,54,58,114,436
118,54,54,116,438
119,54,58,110,428
120,56,58,120,440
121,50,54,110,440
122,52,60,434,442
123,52,54,112,436
124,54,56,118,434
125,52,58,112,436
126,52,54,118,492
127,54,58,114,430
128,54,56,122,440
129,56,56,496,434
130,54,58,114,438
131,52,54,118,606
132,54,56,120,434
133,54,54,118,434
134,52,58,122,434
135,50,52,492,442
136,54,58,112,436
137,52,58,114,444
138,50,54,112,434
139,52,56,116,444
140,52,56,120,518
141,52,56,430,442
142,54,54,436,448
143,50,58,120,440
144,50,54,112,446
145,52,58,110,432
146,54,56,112,428
147,56,56,118,428
148,52,60,502,474
149,52,56,110,478
150,52,56,116,440
151,52,58,112,436
152,50,54,114,438
153,56,54,118,438
154,52,58,470,438
155,54,54,114,484
156,54,54,118,480
157,54,56,112,444
158,56,60,112,438
159,52,56,116,432
160,52,56,422,434
161,50,52,108,446
162,52,54,108,450
163,52,54,122,442
164,50,54,114,440
165,52,56,118,498
166,54,58,112,428
167,52,56,500,442
168,56,54,112,440
169,54,56,116,442
170,54,54,116,446
171,54,54,118,436
172,54,52,112,438
173,54,56,482,432
174,52,54,118,434
175,52,58,114,514
176,50,56,118,438
177,54,60,110,432
178,52,56,118,442
179,54,56,116,440
180,52,742,116,436
181,50,56,116,442
182,54,58,116,434
183,56,56,118,442
184,52,54,108,480
185,52,58,116,434
186,56,56,494,428
187,54,54,120,436
188,56,54,112,430
189,50,54,116,436
190,52,54,112,446
191,50,56,114,448
192,54,56,496,432
193,52,56,118,444
194,50,54,108,442
195,52,56,118,436
196,58,54,120,426
197,50,58,114,440
198,54,54,124,448
199,52,52,490,438
200,52,54,114,430
201,50,56,112,440
202,52,58,116,432
203,52,58,116,436
204,50,58,108,436
205,52,56,488,444
206,52,52,116,454
207,54,56,118,430
208,56,56,106,430
209,52,56,112,432
210,52,52,114,432
211,52,56,436,430
212,54,58,122,432
213,52,56,116,430
214,52,58,110,424
215,52,52,114,432
216,52,54,118,440
217,54,58,112,442
218,54,58,496,438
219,54,56,118,438
220,52,54,118,438
221,54,58,112,434
222,54,58,120,440
223,52,58,114,458
224,56,54,480,442
225,52,54,114,430
226,52,58,116,446
227,56,54,114,472
228,52,54,116,432
229,50,56,112,438
230,56,56,438,442
231,54,54,116,434
232,52,58,110,472
233,54,56,112,434
234,52,54,112,432
235,54,54,108,442
236,52,54,118,446
237,56,56,486,476
238,52,58,120,446
239,54,58,116,506
240,54,58,114,434
241,54,52,112,444
242,56,58,124,444
243,52,54,486,434
244,52,52,118,434
245,50,58,116,438
246,50,56,114,664
247,54,54,112,434
248,52,58,108,436
249,54,54,480,718
250,54,54,118,440
251,54,54,114,440
252,52,54,118,434
253,56,58,120,448
254,54,54,114,440
255,54,54,114,436
256,54,56,496,818
257,56,56,114,436
258,52,54,114,434
259,56,56,114,456
260,56,54,118,438
261,54,58,116,440
262,52,58,498,434
263,52,58,118,444
264,52,54,114,434
265,52,54,108,482
266,52,54,120,442
267,50,54,116,434
268,50,56,418,494
269,52,54,108,432
270,52,52,122,436
271,50,58,118,436
272,54,56,114,438
273,50,54,116,430
274,52,56,116,444
275,52,58,494,472
276,58,56,114,446
277,52,54,110,426
278,50,56,116,442
279,54,54,118,662
280,54,58,112,460
281,54,54,506,442
282,52,54,110,438
283,52,58,114,720
284,54,58,120,506
285,54,56,118,592
286,52,50,114,436
287,56,54,438,436
288,52,58,116,442
289,52,54,108,436
290,52,54,116,442
291,52,60,118,436
292,50,54,124,432
293,50,54,114,430
294,50,56,494,430
295,54,60,118,436
296,52,56,112,440
297,56,56,108,448
298,52,58,110,436
299,50,58,114,446
300,52,56,494,438
301,54,54,116,434
302,52,54,112,442
303,52,58,114,436
304,56,58,120,446
305,52,58,110,436
306,56,56,432,446
307,54,56,430,464
308,56,58,118,436
309,54,56,118,442
310,52,56,118,436
311,52,54,118,440
312,50,56,116,466
313,54,58,496,436
314,50,54,112,432
315,50,56,118,438
316,54,56,110,446
317,50,56,112,428
318,52,54,118,440
319,54,58,494,446
320,50,58,116,440
321,54,56,110,436
322,50,56,110,652
323,54,56,120,552
324,50,56,114,434
325,54,54,118,444
326,54,56,502,436
327,52,54,116,446
328,52,56,118,440
329,52,56,108,444
330,56,52,118,428
331,52,54,108,428
332,52,58,480,444
333,52,52,116,428
334,52,54,116,430
335,52,54,116,442
336,52,56,108,442
337,52,56,112,690
338,52,58,490,440
339,52,58,116,446
340,50,54,108,818
341,50,56,116,434
342,54,52,108,432
343,52,58,114,428
344,52,54,112,446
345,52,58,492,442
346,52,54,110,434
347,50,54,114,432
348,54,56,112,436
349,52,54,118,424
350,54,54,118,434
351,52,54,488,446
352,54,58,112,484
353,52,58,114,432
354,52,54,114,430
355,54,56,112,448
356,52,56,118,442
357,54,58,424,436
358,50,54,116,432
359,54,56,118,442
360,54,56,118,430
361,54,58,120,596
362,54,56,110,444
363,52,54,118,748
364,54,58,492,434
365,52,54,110,512
366,54,56,118,432
367,54,58,110,430
368,56,58,108,462
369,56,54,116,446
370,50,54,484,484
371,52,54,118,650
372,52,56,108,436
373,56,60,112,436
374,54,58,116,440
375,52,52,112,438
376,52,54,434,436
377,52,58,110,442
378,52,56,118,438
379,54,56,114,434
380,50,54,116,444
381,50,54,118,444
382,52,58,110,442
383,54,56,480,434
384,52,58,108,428
385,52,58,112,440
386,52,56,116,574
387,54,52,116,430
388,52,7528,114,426
389,56,56,490,436
390,54,54,112,436
391,54,54,114,432
392,52,54,118,554
393,52,54,114,462
394,52,58,120,438
395,52,54,434,440
396,54,56,116,500
397,52,58,112,502
398,54,56,116,434
399,54,58,112,642
400,52,56,112,444
401,52,58,118,436
402,56,54,478,440
403,52,58,110,436
404,54,60,118,440
405,52,54,120,430
406,52,52,112,436
407,52,58,110,436
408,52,54,430,430
409,54,58,114,434
410,52,56,118,438
411,50,58,118,432
412,52,54,118,438
413,50,54,122,448
414,54,58,118,444
415,52,52,502,432
416,52,56,116,432
417,52,52,116,522
418,56,56,110,446
419,50,58,120,442
420,50,58,118,442
421,54,56,500,492
422,52,58,112,436
423,52,56,122,436
424,48,60,116,604
425,50,58,110,436
