run,initial_hit_time,probe_after_evict_time
0,56,1556
1,54,1010
2,52,998
3,50,1034
4,52,1030
5,52,1124
6,52,956
7,56,1038
8,52,1130
9,52,1052
10,52,1200
11,50,1258
12,50,1000
13,52,1006
14,54,932
15,52,1200
16,48,1026
17,52,1182
18,50,1056
19,54,1048
20,50,1442
21,52,1100
22,54,1052
23,52,1040
24,52,1026
25,52,1034
26,54,652
27,52,808
28,50,812
29,56,724
30,54,718
31,54,898
32,52,818
33,52,732
34,52,676
35,52,630
36,52,732
37,52,806
38,50,810
39,52,630
40,54,710
41,50,788
42,52,1306
43,54,1280
44,54,1034
45,52,1104
46,52,1422
47,52,928
48,52,938
49,52,964
50,50,1312
51,56,1040
52,52,1046
53,54,1120
54,52,1004
55,50,1116
56,50,1100
57,54,1074
58,52,1056
59,54,1042
60,52,1200
61,52,1040
62,56,686
63,52,728
64,52,1552
65,54,1112
66,54,1044
67,54,1100
68,52,732
69,50,740
70,52,628
71,50,724
72,50,742
73,54,806
74,52,802
75,52,714
76,52,808
77,54,734
78,52,638
79,54,720
80,54,644
81,52,802
82,56,818
83,58,734
84,54,892
85,48,792
86,50,668
87,54,738
88,54,736
89,50,820
90,54,1064
91,54,966
92,52,734
93,50,742
94,54,560
95,58,728
96,52,746
97,52,808
98,54,808
99,50,736
100,56,798
101,52,902
102,54,736
103,52,1138
104,52,642
105,50,638
106,50,712
107,50,892
108,52,828
109,50,1090
110,52,740
111,52,742
112,56,812
113,52,792
114,52,900
115,56,726
116,52,742
117,54,730
118,52,882
119,56,734
120,50,1330
121,58,1112
122,56,972
123,50,1024
124,54,1270
125,56,1040
126,50,1126
127,52,1054
128,50,1184
129,52,1120
130,52,1040
131,50,1042
132,54,1004
133,52,810
134,54,806
135,52,802
136,52,808
137,52,818
138,54,732
139,56,712
140,56,710
141,50,892
142,54,732
143,52,806
144,52,708
145,52,714
146,52,738
147,52,800
148,56,572
149,54,640
150,52,736
151,58,1396
152,54,1116
153,54,1034
154,52,1112
155,54,1112
156,54,960
157,50,1122
158,54,33270
159,52,1090
160,52,890
161,54,890
162,54,1194
163,56,1154
164,50,920
165,54,926
166,52,872
167,52,916
168,52,914
169,54,890
170,52,882
171,54,1050
172,56,926
173,50,1064
174,54,1090
175,52,986
176,50,964
177,52,1060
178,54,1076
179,54,912
180,52,928
181,50,926
182,50,992
183,50,808
184,54,1212
185,52,1186
186,52,910
187,52,886
188,52,972
189,52,904
190,50,922
191,50,990
192,54,992
193,54,978
194,52,756
195,54,842
196,50,896
197,56,924
198,54,918
199,52,988
200,50,800
201,52,836
202,52,978
203,56,896
204,50,974
205,52,886
206,54,1108
207,56,1500
208,52,1180
209,56,980
210,52,910
211,54,986
212,54,898
213,48,990
214,52,982
215,54,916
216,50,982
217,50,1058
218,56,904
219,54,918
220,54,1074
221,54,898
222,52,990
223,50,914
224,52,994
225,50,918
226,54,912
227,52,922
228,54,922
229,52,1056
230,54,1098
231,54,1376
232,52,918
233,58,888
234,50,1006
235,50,842
236,56,918
237,52,984
238,52,810
239,56,990
240,54,976
241,50,976
242,54,890
243,50,906
244,52,996
245,52,918
246,52,888
247,52,1004
248,54,1062
249,50,1002
250,56,1058
251,50,984
252,52,846
253,52,910
254,48,1552
255,56,916
256,50,920
257,54,908
258,52,976
259,52,888
260,52,1062
261,52,1098
262,52,1224
263,54,964
264,50,816
265,58,1258
266,56,990
267,52,892
268,54,988
269,52,966
270,52,912
271,54,926
272,50,828
273,54,822
274,52,668
275,54,758
276,56,984
277,54,884
278,50,886
279,52,824
280,52,928
281,54,924
282,56,938
283,56,992
284,52,922
285,52,1374
286,52,1010
287,52,1004
288,54,872
289,54,938
290,48,996
291,54,1136
292,52,1256
293,50,1000
294,54,1004
295,48,1064
296,52,1004
297,54,144017562
298,52,916
299,52,932
300,56,1506
301,56,1248
302,52,1000
303,52,998
304,52,914
305,50,1190
306,56,1766
307,54,1716
308,54,1004
309,54,810
310,48,988
311,52,922
312,52,920
313,52,994
314,52,988
315,52,986
316,50,1008
317,56,822
318,50,884
319,52,960
320,52,1420
321,54,1366
322,52,1004
323,52,1070
324,52,1014
325,54,998
326,52,1082
327,52,928
328,52,1174
329,52,1008
330,52,984
331,52,886
332,52,1314
333,54,1042
334,52,1360
335,52,806
336,52,1114
337,52,1004
338,56,928
339,50,888
340,54,990
341,58,1308
342,52,814
343,50,928
344,50,942
345,52,978
346,58,1192
347,50,1040
348,54,870
349,54,928
350,50,986
351,50,814
352,52,1016
353,48,940
354,52,1082
355,56,1058
356,52,1006
357,54,924
358,52,922
359,50,916
360,54,938
361,52,998
362,50,988
363,52,1068
364,50,1012
365,50,994
366,54,936
367,50,994
368,52,992
369,52,1008
370,52,1000
371,52,986
372,52,862
373,50,996
374,52,948
375,54,960
376,52,932
377,54,1068
378,50,1008
379,54,1002
380,52,946
381,52,814
382,50,872
383,54,1010
384,52,934
385,54,1002
386,52,1346
387,52,1216
388,52,1004
389,50,1004
390,50,882
391,52,1058
392,56,1082
393,56,968
394,52,988
395,50,1010
396,52,1084
397,54,998
398,52,1000
399,50,992
400,54,1078
401,50,922
402,54,1002
403,54,920
404,54,990
405,52,900
406,52,1312
407,52,926
408,54,1004
409,50,982
410,56,894
411,56,988
412,50,972
413,50,928
414,52,816
415,50,13600
416,52,978
417,52,884
418,50,986
419,52,1064
420,52,1180
421,50,982
422,56,974
423,52,1168
424,50,916
425,54,894
426,46,992
427,52,904
428,50,1148
429,52,998
430,52,910
431,54,1062
