Spacing,Branches,Cycles,Cycles_Per_Branch,Address_Range
16,32,240,7.5,496
32,32,202,6.3,992
64,32,174,5.4,1984
128,32,174,5.4,3968
256,32,174,5.4,7936
512,32,174,5.4,15872
1024,32,174,5.4,31744
2048,32,220,6.9,63488
4096,32,238,7.4,126976
8192,32,240,7.5,253952
16384,32,542,16.9,507904
32768,32,990,30.9,1015808
65536,32,1038,32.4,2031616
131072,32,3518,109.9,4063232
262144,32,3640,113.8,8126464
524288,32,3606,112.7,16252928
1048576,32,2006,62.7,32505856
2097152,32,566,17.7,65011712
4194304,32,922,28.8,130023424
