run,latency_cycles
0,1.246190
1,2.048742
2,-2.359729
3,-2.157453
4,-2.159014
5,-2.161142
6,-3.162529
7,-2.161349
8,-2.008252
9,1.238117
10,5.649036
11,4.648647
12,4.648961
13,4.641642
14,5.440747
15,4.843866
16,4.644105
17,4.651239
18,4.647105
19,4.651043
20,5.646401
21,4.639235
22,4.842949
23,4.643068
24,4.642582
25,4.640881
26,5.841701
27,4.652429
28,4.641718
29,4.656782
30,4.645056
31,5.447368
32,4.848329
33,4.644726
34,4.655679
35,4.642479
36,5.646472
37,4.639050
38,4.646176
39,4.636426
40,4.640634
41,5.645385
42,4.636378
43,4.633301
44,4.632198
45,4.488066
46,5.442876
47,4.831958
48,4.646723
49,4.646138
50,4.640227
51,5.437619
52,4.848278
53,4.641677
54,4.641107
55,4.643389
56,5.439025
57,4.841864
58,4.656315
59,4.649949
60,4.645501
61,5.445114
62,4.828495
63,5.444912
64,4.651953
65,4.643170
66,4.652414
67,4.644658
68,4.645824
69,4.841980
70,5.443634
71,4.835428
72,4.634427
73,4.634393
74,4.640420
75,5.638085
76,4.637068
77,4.651442
78,4.638387
79,5.449488
80,4.645033
81,5.030109
82,4.643235
83,4.643468
84,4.632682
85,4.842424
86,4.637044
87,5.637991
88,4.638367
89,4.646487
90,4.633868
91,5.442142
92,4.843338
93,4.646520
94,4.636642
95,4.636673
96,5.442369
97,4.838931
98,4.641525
99,4.649107
100,4.642774
101,5.642688
102,4.638421
103,4.635918
104,4.645156
105,5.437358
106,4.832089
107,4.646348
108,4.639574
109,4.652227
110,4.836441
111,4.842685
112,5.639670
113,4.646025
114,4.652607
115,4.649842
116,4.644777
117,5.649510
118,4.647021
119,2.845116
120,4.647033
121,4.645594
122,4.638678
123,4.845833
124,-2.961644
125,-2.161082
126,-2.161909
127,-2.163661
128,-2.362965
129,-2.965887
130,-2.157931
131,-2.155151
132,-2.158194
133,-2.359835
134,-2.960727
135,-2.150480
136,-2.158704
137,-2.056832
138,-2.361929
139,-3.162022
140,-2.159421
141,-2.158062
142,5.652926
143,4.639367
144,4.647536
145,4.656612
146,4.844310
147,4.650095
148,5.446205
149,4.646156
150,4.640930
151,4.650515
152,5.635071
153,4.638458
154,4.643658
