data_type,tile_shape,sparsity_percent,avg_cycles
INT8,16x64,0,159.20
INT8,16x64,10,163.62
INT8,16x64,20,164.82
INT8,16x64,30,164.83
INT8,16x64,40,163.80
INT8,16x64,50,163.25
INT8,16x64,60,162.65
INT8,16x64,70,162.10
INT8,16x64,80,162.65
INT8,16x64,90,164.06
INT8,16x64,100,162.03
BF16,16x32,0,162.98
BF16,16x32,10,164.37
BF16,16x32,20,162.95
BF16,16x32,30,163.76
BF16,16x32,40,163.64
BF16,16x32,50,162.30
BF16,16x32,60,164.57
BF16,16x32,70,163.28
BF16,16x32,80,162.64
BF16,16x32,90,161.95
BF16,16x32,100,162.02
