filler_count,avg_cycles,min_cycles,max_cycles
0,1326.55,1100.23,1754.01
4,1280.31,1140.25,1499.93
8,1276.86,1100.69,1501.98
12,1272.85,1100.03,1500.33
16,1276.70,1138.99,1501.00
20,1287.74,1101.22,1601.19
24,1282.01,1101.40,1522.19
28,1245.92,1101.66,1541.97
32,1212.46,1137.01,1501.05
36,1232.76,1119.96,1522.09
40,1293.16,1101.49,1541.82
44,1293.26,1101.60,1541.01
48,1293.16,1121.05,1522.03
52,1296.57,1120.02,1521.74
56,1296.80,1101.40,1541.33
60,1304.34,1100.98,1539.59
64,1283.10,1100.40,1460.21
68,1201.63,1099.60,1463.54
72,1224.52,1100.16,1540.39
76,1205.07,1120.92,1480.60
80,1208.31,1099.71,1541.84
84,1264.75,1121.18,1501.35
88,1300.55,1140.44,1561.38
92,1276.47,1099.07,1541.91
96,1292.13,1121.14,1519.64
100,1285.54,1100.81,1547.32
104,1296.20,1099.76,1641.99
108,1297.78,1100.54,1481.80
112,1276.83,1099.21,1541.62
116,1295.17,1099.42,1557.03
120,1280.62,1099.42,1541.49
124,1277.31,1100.79,1542.95
128,1268.94,1100.12,1501.12
132,1312.86,1098.94,1661.62
136,1275.27,1081.65,1473.63
140,1320.27,1101.12,1540.21
144,1276.98,1100.48,1540.86
148,1230.84,1101.00,1522.09
152,1273.17,1099.78,1521.53
156,1296.82,1101.10,1541.96
160,1224.71,1100.26,1461.55
164,1208.77,1101.13,1459.46
168,1332.84,1100.49,1541.81
172,1281.10,1100.36,1541.65
176,1300.39,1099.29,1541.97
180,1240.21,1120.10,1460.36
184,1300.64,1101.11,1539.29
188,1262.74,1140.08,1500.35
192,1284.11,1100.98,1540.25
196,1208.84,1099.46,1521.99
200,1224.61,1120.99,1480.43
204,1198.16,1044.93,1541.81
208,1221.52,1120.54,1461.63
212,1217.15,1100.97,1542.04
216,1202.02,1101.46,1523.10
220,1289.35,1141.53,1502.80
224,1295.00,1141.77,1544.05
228,1296.62,1104.24,1545.04
232,1303.13,1128.54,1546.98
236,1286.41,1109.41,1551.45
240,1319.79,1155.22,1515.75
244,1324.34,1136.63,1555.94
248,1299.13,1122.40,1564.07
252,1279.51,1098.71,1553.59
256,1334.36,1097.55,1700.79
260,1281.40,1097.08,1477.49
264,1292.66,1096.95,1535.51
268,1226.42,1092.13,1473.51
272,1285.36,1119.41,1535.65
276,1277.33,1117.78,1457.52
280,1288.96,1098.23,1536.84
284,1239.62,1117.20,1617.67
288,1205.42,1097.11,1479.39
292,1228.37,1096.71,1597.27
296,1209.28,1135.94,1497.07
300,1208.71,936.10,1498.04
304,1284.92,1117.57,1536.51
308,1226.21,881.43,1477.82
312,1204.56,1097.47,1458.35
316,1273.88,1096.69,1518.18
320,1197.90,1060.28,1537.91
324,1205.56,1096.25,1458.81
328,1205.81,1097.76,1518.39
332,1209.86,1078.05,1538.43
336,1248.86,1033.65,1476.65
340,1280.33,1098.34,1539.04
344,1278.02,1098.37,1537.80
348,1227.56,1098.10,1536.76
352,1213.14,976.83,1677.62
356,1200.25,1072.57,1458.08
360,1208.85,1116.24,1437.01
364,1293.53,916.29,1540.22
368,1280.94,1096.89,1535.09
372,1280.50,1098.77,1537.45
376,1285.53,1097.42,1536.42
380,1281.42,1097.75,1537.07
384,1250.78,1022.20,1499.56
388,1279.53,1096.42,1537.59
392,1309.29,1135.78,1638.10
396,1282.08,1117.51,1518.47
400,1217.74,1097.76,1538.71
404,1277.03,1115.93,1536.78
408,1274.31,1098.12,1537.24
412,1290.85,1117.48,1517.52
416,1286.11,1096.70,1561.55
420,1231.72,958.57,1598.59
424,1278.06,1117.81,1517.69
428,1274.32,1116.85,1458.85
432,1290.13,1097.48,1538.75
436,1237.68,917.94,1537.75
440,1205.14,1097.83,1536.99
444,1220.80,1117.62,1498.01
448,1321.05,1040.97,1711.92
452,1216.29,1097.27,1440.99
456,1206.60,1097.44,1519.42
460,1230.16,1137.14,1458.53
464,1194.43,1038.89,1538.61
468,1273.96,1097.81,1536.61
472,1267.93,1100.85,1498.74
476,1287.12,1099.74,1558.93
480,1234.31,936.46,1499.23
484,1266.05,1098.84,1461.07
488,1287.32,1117.93,1530.19
492,1287.20,1098.80,1518.26
496,1201.60,1070.45,1539.79
500,1222.68,1096.80,1558.95
504,1290.84,1106.89,1587.66
508,1293.72,1114.59,1553.45
512,1291.64,1113.55,1532.97
516,1496.94,1163.75,1622.06
520,1392.39,1117.92,1592.52
524,1416.65,1217.51,1684.76
528,1296.07,1119.75,1558.94
532,1383.26,1119.21,1560.72
536,1341.31,1119.65,1579.57
540,1313.00,1160.77,1521.02
544,1338.74,1122.42,1622.02
548,1383.26,1122.69,1564.19
552,1312.86,1125.89,1563.81
556,1322.27,1125.69,1565.47
560,1403.17,1128.86,1624.97
564,1524.77,1235.60,1655.30
568,1289.85,1166.34,1487.09
572,1305.16,1128.92,1569.36
576,1315.20,1169.63,1530.55
580,1318.84,1155.39,1552.05
584,1381.23,1171.40,1571.14
588,1428.76,1150.98,1552.80
592,1394.20,1173.89,1533.87
596,1330.40,1135.43,1574.89
600,1412.53,1174.98,1614.52
