ICOUNT,CYCLES
10,2132.89
10,1973.98
10,2141.61
10,2091.70
10,2117.78
10,1943.16
10,2113.08
10,1934.09
10,2134.20
10,2223.92
10,1941.87
10,2152.11
10,1884.82
10,2143.65
10,2128.40
10,2000.97
10,2133.51
10,1951.60
10,2117.91
10,1961.41
10,2144.56
10,2104.51
10,1963.66
10,2173.32
10,2112.55
10,1903.55
10,2142.37
10,2123.33
10,1953.59
10,2122.68
10,1972.51
10,2100.46
10,2230.95
10,1940.37
10,2131.03
10,1952.94
10,2143.32
10,2132.20
10,1962.45
10,2162.66
10,1925.31
10,2132.64
10,2122.16
10,1954.80
10,2174.16
10,2081.08
10,2042.21
10,2104.44
10,1960.27
10,2133.06
12,1994.14
12,2136.61
12,2117.91
12,1921.92
12,2122.23
12,1971.54
12,2141.95
12,2120.90
12,1920.56
12,2141.80
12,1941.62
12,2141.35
12,2092.08
12,2132.94
12,1971.69
12,2101.06
12,1962.30
12,2133.08
12,2142.97
12,2074.33
12,1931.12
12,2104.13
12,2154.08
12,1932.93
12,2181.46
12,1932.74
12,2163.27
12,2132.44
12,1972.52
12,2124.03
12,1971.61
12,2110.27
12,2132.27
12,1972.39
12,2131.27
12,2111.81
12,1922.59
12,2130.22
12,1962.60
12,2129.73
12,2100.60
12,1975.22
12,2100.77
12,2161.39
12,1913.11
12,2140.80
12,1960.27
12,2100.93
12,2110.77
12,2087.90
14,1942.87
14,2102.47
14,2117.25
14,2143.48
14,1922.36
14,2212.72
14,1922.35
14,2162.29
14,1931.15
14,2135.87
14,2098.63
14,2133.40
14,1942.65
14,2134.21
14,1932.36
14,1962.03
14,2092.83
14,2017.19
14,2142.61
14,1902.33
14,2134.80
14,2132.25
14,1940.76
14,2141.63
14,2134.90
14,1931.96
14,2092.45
14,2143.44
14,2059.99
14,1933.43
14,2153.32
14,2121.67
14,1931.89
14,2143.04
14,2112.58
14,1950.79
14,2212.65
14,2092.66
14,1973.46
14,2073.32
14,1942.36
14,2224.78
14,2152.99
14,1922.98
14,2032.50
14,2123.04
14,1955.83
14,2110.66
14,2146.47
14,1926.90
16,2103.69
16,1953.59
16,2123.93
16,2014.86
16,2161.76
16,2094.96
16,1972.84
16,2112.41
16,2047.62
16,2142.58
16,2143.36
16,1922.68
16,2142.39
16,1950.53
16,2182.13
16,1961.56
16,2122.82
16,2142.37
16,2064.63
16,1893.89
16,2141.95
16,2102.36
16,1961.62
16,2111.70
16,2204.38
16,1942.70
16,2020.49
16,2150.11
16,1952.63
16,2203.39
16,2122.90
16,1942.54
16,2162.55
16,1932.54
16,2155.06
16,1954.02
16,2163.06
16,2103.50
16,1972.64
16,2202.84
16,1922.28
16,2143.61
16,1969.40
16,2125.64
16,2192.29
16,1922.91
16,2143.96
16,1933.44
16,2143.00
16,2122.98
18,2142.26
18,1953.26
18,2102.53
18,2141.80
18,1961.94
18,2089.64
18,2143.11
18,1931.91
18,2133.16
18,2144.04
18,1933.08
18,2132.19
18,2121.90
18,1972.98
18,2193.12
18,1943.24
18,2153.51
18,2143.46
18,1953.16
18,2073.15
18,2102.58
18,2067.01
18,1964.40
18,2194.98
18,1932.68
18,2102.28
18,2153.01
18,1913.88
18,2163.98
18,2162.86
18,1912.27
18,2124.51
18,2193.28
18,1944.11
18,2132.66
18,2001.67
18,2119.74
18,1993.15
18,2123.98
18,2133.75
18,2021.97
18,1924.03
18,2133.90
18,2214.15
18,1971.23
18,2010.04
18,2102.10
18,2183.82
18,1923.88
18,2141.60
20,2103.59
20,2133.03
20,1972.68
20,2162.10
20,1981.68
20,2131.64
20,1951.71
20,2102.86
20,2102.33
20,2162.70
20,1922.45
20,2153.26
20,2023.20
20,2022.86
20,2081.22
20,2132.35
20,2101.86
20,1972.30
20,2102.20
20,1981.72
20,2172.95
20,1933.54
20,2153.00
20,1962.01
20,2192.26
20,2051.97
20,2012.72
20,2122.70
20,1955.38
20,2143.86
20,2115.93
20,1933.03
20,2164.26
20,2138.79
20,1932.27
20,2123.11
20,2202.89
20,1954.38
20,2049.63
20,2142.27
20,2132.58
20,1936.90
20,2118.31
20,2101.83
20,1972.64
20,2132.19
20,1930.37
20,2122.05
20,2160.51
20,1922.04
22,1922.62
22,2009.08
22,2146.05
22,2112.57
22,1976.97
22,2143.08
22,1952.00
22,2119.94
22,2143.11
22,1921.57
22,2141.34
22,1931.06
22,2280.71
22,1921.91
22,2103.25
22,1933.02
22,2133.57
22,2183.39
22,1932.52
22,2142.61
22,1960.33
22,2132.28
22,1972.99
22,2152.80
22,2101.52
22,2102.46
22,2103.23
22,1961.80
22,2134.76
22,1961.47
22,2111.56
22,2131.33
22,1972.46
22,2123.78
22,1963.54
22,2144.15
22,2063.73
22,2182.79
22,1922.70
22,2144.22
22,1975.14
22,2100.58
22,2123.37
22,2123.25
22,1922.51
22,2173.65
22,1952.50
22,2082.44
22,1951.92
22,2223.17
24,2144.09
24,1962.01
24,2023.24
24,2213.17
24,1952.87
24,2143.68
24,1974.33
24,1994.15
24,2154.32
24,2103.05
24,2031.54
24,2102.79
24,1943.17
24,2143.64
24,2133.41
24,1932.49
24,2184.40
24,2002.93
24,1967.18
24,2113.48
24,1954.33
24,2152.76
24,2106.35
24,1934.34
24,2143.74
24,2144.20
24,1935.13
24,2145.80
24,1945.10
24,2131.11
24,2093.88
24,2173.38
24,1922.86
24,2145.29
24,1927.99
24,2142.96
24,2124.01
24,2094.14
24,2100.79
24,1961.34
24,2104.84
24,2064.18
24,2143.61
24,1923.40
24,2140.52
24,2103.77
24,1993.91
24,2134.40
24,1973.22
24,2236.01
26,2102.12
26,1982.14
26,2102.69
26,2153.82
26,1985.35
26,2136.15
26,1964.02
26,2133.53
26,2094.94
26,1973.23
26,2116.34
26,2114.00
26,1953.26
26,2145.01
26,1973.85
26,2094.91
26,2111.60
26,2099.92
26,2173.70
26,1934.43
26,2123.37
26,1973.35
26,2134.90
26,2135.76
26,2084.10
26,1943.91
26,2144.67
26,1957.25
26,2122.49
26,2136.40
26,1923.35
26,2113.30
26,2144.27
26,1922.24
26,2165.05
26,2093.46
26,1994.28
26,2103.40
26,1932.92
26,2150.03
26,2113.65
26,1943.42
26,2225.53
26,2122.30
26,1974.27
26,2154.78
26,1942.63
26,1982.47
26,2133.64
26,2182.67
28,2073.88
28,1963.76
28,2134.88
28,1972.96
28,2124.64
28,2193.86
28,1953.84
28,2143.94
28,2084.13
28,1935.21
28,1964.66
28,2107.91
28,2145.34
28,1954.69
28,2107.69
28,1944.05
28,2210.73
28,1943.38
28,2134.61
28,1933.73
28,2146.00
28,2116.71
28,1993.80
28,2134.99
28,2145.73
28,1983.70
28,2114.67
28,2003.80
28,2104.48
28,2135.37
28,2110.24
28,1934.25
28,2155.47
28,2115.36
28,2002.64
28,2062.99
28,2154.32
28,1923.92
28,2142.49
28,1963.20
28,2113.97
28,2164.62
28,2062.99
28,2094.62
28,1924.25
28,2149.07
28,2132.87
28,1923.01
28,2142.69
28,1973.36
30,1974.03
30,2103.77
30,2223.32
30,1944.71
30,2144.03
30,2144.05
30,1914.52
30,2133.91
30,1972.46
30,2144.00
30,2093.83
30,1933.09
30,2143.18
30,2129.29
30,1942.90
30,2114.93
30,2144.35
30,1926.57
30,2145.08
30,2194.91
30,2003.70
30,1944.34
30,2127.68
30,2028.62
30,2152.90
30,1993.72
30,2134.79
30,2104.19
30,2115.90
30,1857.76
30,2215.89
30,2023.82
30,2043.32
30,2185.26
30,2044.33
30,1954.07
30,2133.62
30,1943.82
30,2193.97
30,2155.05
30,1946.23
30,2103.40
30,1964.84
30,2154.19
30,2114.64
30,1933.57
30,2154.14
30,2127.56
30,1975.19
30,2102.83
32,2155.74
32,2106.38
32,1962.08
32,2225.91
32,2107.06
32,1935.08
32,2145.77
32,1994.75
32,2146.31
32,2116.47
32,2002.53
32,2146.28
32,2069.12
32,1965.64
32,2126.05
32,2145.87
32,1924.32
32,2145.57
32,2146.82
32,1945.99
32,2114.66
32,2072.41
32,2054.44
