working_set_size_bytes,time_per_access_cycles
4096,29.66
4505,31.02
4955,29.59
5450,48.74
5995,29.70
6594,29.60
7253,29.55
7978,29.47
8775,29.53
9652,30.13
10617,30.10
11678,29.51
12845,29.78
14129,30.41
15541,29.52
17095,29.99
18804,29.94
20684,29.81
22752,30.26
25027,29.61
27529,29.59
30281,29.55
33309,31.78
36639,29.71
40302,29.59
44332,29.77
48765,28.22
53641,28.27
59005,28.02
64905,28.12
71395,28.73
78534,28.44
86387,28.53
95025,28.42
104527,28.37
114979,28.32
126476,28.23
139123,28.55
153035,28.47
168338,28.31
185171,28.27
203688,28.20
224056,28.02
246461,27.90
271107,28.41
298217,28.37
328038,28.31
360841,28.22
396925,28.16
436617,28.10
480278,28.09
528305,28.43
581135,28.37
639248,28.32
703172,28.22
773489,28.07
850837,28.09
935920,28.02
1029512,27.96
1132463,28.42
1245709,28.32
1370279,28.24
1507306,28.16
1658036,28.11
1823839,28.03
2006222,27.96
2206844,28.44
2427528,28.38
2670280,28.34
2937308,28.22
3231038,28.19
3554141,28.22
3909555,28.23
4300510,29.00
4730561,29.74
5203617,30.86
5723978,31.37
6296375,31.23
6926012,31.59
7618613,31.98
8380474,32.08
9218521,32.25
10140373,32.28
11154410,32.53
12269851,33.43
13496836,35.12
14846519,36.38
16331170,37.22
17964287,37.76
19760715,38.40
21736786,38.96
23910464,38.90
26301510,38.96
28931661,39.00
31824827,39.02
35007309,38.92
38508039,38.91
42358842,38.97
46594726,38.95
51254198,38.95
56379617,38.98
62017578,38.98
68219335,38.91
75041268,38.91
82545394,38.93
90799933,38.92
99879926,38.98
109867918,38.94
120854709,38.92
132940179,38.97
146234196,38.88
160857615,38.90
176943376,38.93
194637713,38.94
