type,stride,run,cycles_per_access
sequential,1,0,9.83
stride,2,0,9.71
stride,4,0,9.76
stride,8,0,13.76
stride,16,0,20.59
stride,32,0,24.86
stride,64,0,23.75
stride,128,0,24.49
stride,256,0,25.12
stride,512,0,26.26
stride,1024,0,38.56
random,NA,0,26.80
sequential,1,1,9.87
stride,2,1,9.71
stride,4,1,9.82
stride,8,1,13.78
stride,16,1,20.88
stride,32,1,24.68
stride,64,1,23.73
stride,128,1,24.53
stride,256,1,25.18
stride,512,1,26.47
stride,1024,1,25.68
random,NA,1,26.80
sequential,1,2,9.85
stride,2,2,9.72
stride,4,2,9.77
stride,8,2,13.76
stride,16,2,20.50
stride,32,2,24.66
stride,64,2,23.71
stride,128,2,24.50
stride,256,2,25.11
stride,512,2,26.24
stride,1024,2,26.15
random,NA,2,26.79
sequential,1,3,9.86
stride,2,3,9.72
stride,4,3,9.79
stride,8,3,13.77
stride,16,3,20.49
stride,32,3,24.68
stride,64,3,23.74
stride,128,3,24.60
stride,256,3,25.25
stride,512,3,26.21
stride,1024,3,25.74
random,NA,3,26.75
sequential,1,4,9.85
stride,2,4,9.69
stride,4,4,9.78
stride,8,4,13.76
stride,16,4,20.50
stride,32,4,24.59
stride,64,4,23.74
stride,128,4,24.59
stride,256,4,25.27
stride,512,4,26.31
stride,1024,4,25.63
random,NA,4,26.75
sequential,1,5,9.85
stride,2,5,9.67
stride,4,5,9.77
stride,8,5,13.76
stride,16,5,20.48
stride,32,5,24.65
stride,64,5,23.75
stride,128,5,24.48
stride,256,5,25.27
stride,512,5,26.30
stride,1024,5,25.70
random,NA,5,26.77
sequential,1,6,9.86
stride,2,6,9.68
stride,4,6,9.80
stride,8,6,13.75
stride,16,6,20.46
stride,32,6,24.69
stride,64,6,23.74
stride,128,6,24.50
stride,256,6,25.27
stride,512,6,26.25
stride,1024,6,25.69
random,NA,6,26.75
sequential,1,7,9.85
stride,2,7,9.70
stride,4,7,9.79
stride,8,7,13.75
stride,16,7,20.54
stride,32,7,24.67
stride,64,7,23.98
stride,128,7,24.59
stride,256,7,25.10
stride,512,7,26.48
stride,1024,7,25.73
random,NA,7,26.75
sequential,1,8,9.86
stride,2,8,9.72
stride,4,8,9.79
stride,8,8,13.73
stride,16,8,20.50
stride,32,8,24.69
stride,64,8,23.78
stride,128,8,24.57
stride,256,8,25.18
stride,512,8,26.55
stride,1024,8,25.70
random,NA,8,26.76
sequential,1,9,9.84
stride,2,9,9.69
stride,4,9,9.78
stride,8,9,13.76
stride,16,9,20.48
stride,32,9,24.69
stride,64,9,23.73
stride,128,9,24.59
stride,256,9,25.28
stride,512,9,26.23
stride,1024,9,25.75
random,NA,9,26.75
sequential,1,10,9.86
stride,2,10,9.72
stride,4,10,9.76
stride,8,10,13.75
stride,16,10,20.49
stride,32,10,24.70
stride,64,10,23.78
stride,128,10,24.55
stride,256,10,25.09
stride,512,10,26.47
stride,1024,10,25.75
random,NA,10,26.76
sequential,1,11,9.85
stride,2,11,9.68
stride,4,11,9.77
stride,8,11,13.75
stride,16,11,20.49
stride,32,11,24.66
stride,64,11,23.78
stride,128,11,24.53
stride,256,11,25.24
stride,512,11,26.48
stride,1024,11,25.77
random,NA,11,26.75
sequential,1,12,9.86
stride,2,12,9.69
stride,4,12,9.81
stride,8,12,13.76
stride,16,12,20.48
stride,32,12,24.67
stride,64,12,23.77
stride,128,12,24.55
stride,256,12,25.22
stride,512,12,26.52
stride,1024,12,25.73
random,NA,12,26.76
sequential,1,13,9.85
stride,2,13,9.70
stride,4,13,9.78
stride,8,13,13.74
stride,16,13,20.52
stride,32,13,24.65
stride,64,13,23.79
stride,128,13,24.54
stride,256,13,25.13
stride,512,13,26.47
stride,1024,13,25.80
random,NA,13,26.76
sequential,1,14,9.86
stride,2,14,9.73
stride,4,14,9.79
stride,8,14,13.77
stride,16,14,20.50
stride,32,14,24.69
stride,64,14,23.77
stride,128,14,24.55
stride,256,14,25.22
stride,512,14,26.50
stride,1024,14,25.68
random,NA,14,26.89
sequential,1,15,9.86
stride,2,15,9.72
stride,4,15,9.77
stride,8,15,13.97
stride,16,15,20.75
