pattern,n,run,cycles_per_step
random,524288,0,112.412440
offset16,524288,0,50.886824
offset64,524288,0,67.038872
sig8,524288,0,10.033288
sig16,524288,0,10.035152
random,524288,1,112.398064
offset16,524288,1,50.882212
offset64,524288,1,67.034004
sig8,524288,1,10.034220
sig16,524288,1,10.033636
random,524288,2,112.417808
offset16,524288,2,50.898744
offset64,524288,2,67.018496
sig8,524288,2,42.540044
sig16,524288,2,10.032916
random,524288,3,112.417404
offset16,524288,3,50.879749
offset64,524288,3,67.054348
sig8,524288,3,42.542704
sig16,524288,3,10.038052
random,524288,4,79.882232
offset16,524288,4,18.387240
offset64,524288,4,67.048032
sig8,524288,4,10.032556
sig16,524288,4,10.032680
random,524288,5,84.884164
offset16,524288,5,50.862452
offset64,524288,5,67.030588
sig8,524288,5,10.032160
sig16,524288,5,42.542932
random,524288,6,79.885912
offset16,524288,6,50.896536
offset64,524288,6,99.574028
sig8,524288,6,10.033452
sig16,524288,6,10.035756
random,524288,7,112.393100
offset16,524288,7,50.885680
offset64,524288,7,67.030816
sig8,524288,7,42.546100
sig16,524288,7,10.033280
random,524288,8,79.883196
offset16,524288,8,18.381296
offset64,524288,8,67.067512
sig8,524288,8,10.035556
sig16,524288,8,10.035704
random,524288,9,79.882564
offset16,524288,9,50.872504
offset64,524288,9,67.066064
sig8,524288,9,10.036864
sig16,524288,9,42.551888
