stride_bytes,run,avg_cycles_per_access
1,0,2.03
1,1,2.00
1,2,37.05
1,3,2.03
1,4,2.03
1,5,2.03
1,6,2.00
1,7,2.03
1,8,2.05
1,9,2.00
1,10,2.03
1,11,47.03
1,12,2.04
1,13,2.04
1,14,2.00
1,15,57.04
1,16,2.03
1,17,2.00
1,18,2.03
1,19,2.04
1,20,2.03
1,21,2.02
1,22,2.00
1,23,2.03
1,24,2.03
1,25,2.03
1,26,2.02
1,27,2.03
1,28,2.03
1,29,2.03
1,30,2.00
1,31,64.55
1,32,2.03
1,33,2.03
1,34,2.03
1,35,57.04
1,36,2.03
1,37,2.03
1,38,2.00
1,39,2.03
1,40,2.03
1,41,2.03
1,42,2.03
1,43,2.00
1,44,67.04
1,45,2.02
1,46,2.00
1,47,2.03
1,48,57.06
1,49,2.03
2,0,2.03
2,1,2.04
2,2,2.04
2,3,2.04
2,4,2.01
2,5,2.03
2,6,2.04
2,7,47.05
2,8,2.04
2,9,2.03
2,10,2.03
2,11,47.04
2,12,2.01
2,13,2.03
2,14,2.03
2,15,2.03
2,16,2.04
2,17,2.04
2,18,2.04
2,19,2.03
2,20,2.01
2,21,2.04
2,22,2.04
2,23,2.04
2,24,47.05
2,25,2.03
2,26,2.04
2,27,2.04
2,28,2.01
2,29,2.04
2,30,2.03
2,31,2.04
2,32,2.04
2,33,2.04
2,34,2.03
2,35,2.03
2,36,2.01
2,37,47.05
2,38,2.04
2,39,2.01
2,40,2.03
2,41,2.04
2,42,57.06
2,43,2.03
2,44,2.01
2,45,2.03
2,46,47.05
2,47,2.01
2,48,2.03
2,49,2.03
4,0,47.08
4,1,2.05
4,2,2.05
4,3,2.04
4,4,2.04
4,5,2.05
4,6,2.02
4,7,2.05
4,8,2.04
4,9,67.13
4,10,2.05
4,11,2.05
4,12,2.04
4,13,47.05
4,14,2.02
4,15,2.05
4,16,2.05
4,17,2.02
4,18,2.08
4,19,2.04
4,20,2.02
4,21,2.05
4,22,2.17
4,23,2.02
4,24,2.04
4,25,2.05
4,26,37.06
4,27,2.04
4,28,2.04
4,29,2.04
4,30,57.08
4,31,2.02
4,32,2.04
4,33,2.04
4,34,2.04
4,35,2.05
4,36,2.04
4,37,2.04
4,38,2.04
4,39,2.14
4,40,2.05
4,41,2.04
4,42,2.02
4,43,67.06
4,44,2.05
4,45,2.05
4,46,2.05
4,47,47.08
4,48,2.04
4,49,2.05
8,0,2.13
8,1,57.40
8,2,2.12
8,3,2.13
8,4,2.14
8,5,57.43
8,6,2.13
8,7,2.10
8,8,2.14
8,9,37.42
8,10,2.13
8,11,2.10
8,12,2.12
8,13,57.37
8,14,2.13
8,15,2.10
8,16,2.12
8,17,57.27
8,18,2.13
8,19,2.13
8,20,2.13
8,21,57.19
8,22,2.10
8,23,2.13
8,24,2.13
8,25,2.10
8,26,2.15
8,27,2.13
8,28,2.13
8,29,2.13
8,30,2.20
8,31,2.13
8,32,2.13
8,33,2.13
8,34,2.22
8,35,2.12
8,36,2.10
8,37,2.16
8,38,2.13
8,39,2.12
8,40,2.12
8,41,2.21
8,42,2.13
8,43,2.13
8,44,2.13
8,45,2.28
8,46,2.13
8,47,2.10
8,48,2.13
8,49,2.28
16,0,2.83
16,1,58.08
16,2,2.82
16,3,2.82
16,4,58.20
16,5,2.84
16,6,2.82
16,7,58.10
16,8,2.82
16,9,2.84
16,10,38.08
16,11,2.82
16,12,2.82
16,13,48.06
16,14,2.83
16,15,2.84
16,16,68.16
16,17,2.85
16,18,2.82
16,19,48.43
16,20,2.82
16,21,2.82
16,22,49.04
16,23,2.82
16,24,2.83
16,25,4.38
16,26,2.82
16,27,2.82
16,28,3.80
16,29,2.82
16,30,3.30
16,31,2.82
16,32,2.81
16,33,3.11
16,34,2.82
16,35,2.81
16,36,3.23
16,37,2.82
16,38,2.82
16,39,2.99
16,40,2.82
16,41,2.82
16,42,3.09
16,43,2.83
16,44,2.82
16,45,3.05
16,46,2.82
16,47,2.82
16,48,3.21
16,49,2.81
32,0,8.45
32,1,7.57
32,2,8.60
32,3,8.53
32,4,53.38
32,5,63.07
32,6,72.76
32,7,42.42
32,8,62.24
32,9,7.39
32,10,7.69
32,11,7.68
32,12,8.39
32,13,8.55
32,14,7.94
32,15,73.22
32,16,42.50
32,17,57.44
32,18,62.38
32,19,7.31
32,20,7.52
32,21,8.18
32,22,8.48
32,23,8.44
32,24,8.25
32,25,73.80
32,26,53.29
32,27,53.39
32,28,73.12
32,29,52.93
32,30,52.70
32,31,62.49
32,32,52.40
32,33,7.45
32,34,7.75
32,35,7.71
32,36,7.98
32,37,8.31
32,38,8.26
32,39,8.16
32,40,74.04
32,41,43.32
32,42,52.64
32,43,72.90
32,44,52.50
32,45,52.22
32,46,7.19
32,47,7.92
32,48,8.14
32,49,8.30
64,0,62.99
64,1,73.06
64,2,63.01
64,3,83.03
64,4,63.24
64,5,63.11
64,6,73.17
64,7,63.22
64,8,73.12
64,9,83.04
64,10,72.96
64,11,63.06
64,12,118.05
64,13,83.16
64,14,73.08
64,15,52.99
64,16,63.03
64,17,72.97
64,18,73.07
64,19,53.16
64,20,83.05
64,21,58.19
64,22,63.13
64,23,73.02
64,24,73.05
64,25,72.96
64,26,63.05
64,27,73.07
64,28,63.04
64,29,63.02
64,30,82.94
64,31,128.07
64,32,63.30
64,33,73.28
64,34,63.03
64,35,63.10
64,36,45.55
64,37,63.07
64,38,83.03
64,39,63.25
64,40,73.06
64,41,73.17
64,42,73.18
64,43,53.34
64,44,73.02
64,45,82.93
64,46,73.28
64,47,63.17
64,48,73.03
64,49,83.13
128,0,124.51
128,1,124.26
128,2,79.29
128,3,89.21
128,4,88.97
128,5,114.13
128,6,79.53
128,7,89.74
128,8,116.66
128,9,89.19
128,10,79.25
128,11,124.12
128,12,124.18
128,13,79.20
128,14,79.23
128,15,79.18
128,16,124.27
128,17,69.33
128,18,76.79
128,19,69.09
128,20,124.10
128,21,134.32
128,22,69.41
128,23,69.50
128,24,69.11
128,25,121.77
128,26,69.38
128,27,69.52
128,28,69.49
128,29,134.14
128,30,134.16
128,31,79.37
128,32,79.51
128,33,69.37
128,34,126.62
128,35,144.22
128,36,89.31
128,37,79.34
128,38,61.47
128,39,124.66
128,40,79.11
128,41,89.22
128,42,79.16
128,43,134.07
128,44,124.27
128,45,69.60
128,46,115.13
128,47,126.69
128,48,69.26
128,49,79.23
256,0,138.74
256,1,128.64
256,2,93.48
256,3,103.51
256,4,138.73
256,5,128.69
256,6,56.27
256,7,139.65
256,8,124.98
256,9,84.63
256,10,128.75
256,11,128.78
256,12,83.85
256,13,128.90
256,14,129.31
256,15,74.08
256,16,129.07
256,17,109.60
256,18,138.50
256,19,128.34
256,20,138.38
256,21,148.35
256,22,128.33
256,23,127.38
256,24,138.35
256,25,73.60
256,26,138.41
256,27,118.43
256,28,108.46
256,29,73.82
256,30,118.87
256,31,133.50
256,32,73.80
256,33,128.69
256,34,108.71
256,35,138.98
256,36,63.89
256,37,138.74
256,38,138.56
256,39,83.75
256,40,129.05
256,41,118.88
256,42,138.70
256,43,83.81
256,44,148.70
256,45,138.73
256,46,73.86
256,47,73.75
256,48,118.33
256,49,128.33
512,0,115.50
512,1,105.54
512,2,135.58
512,3,108.11
512,4,145.53
512,5,135.53
512,6,125.52
512,7,125.58
512,8,70.59
512,9,80.67
512,10,80.58
512,11,70.66
512,12,80.67
512,13,80.66
512,14,80.63
512,15,80.59
512,16,125.61
512,17,145.58
512,18,135.66
512,19,125.97
512,20,70.65
512,21,80.71
512,22,90.64
512,23,135.63
512,24,135.59
512,25,125.66
512,26,125.65
512,27,135.63
512,28,125.60
512,29,135.61
512,30,90.58
512,31,80.63
512,32,80.66
512,33,70.58
512,34,70.58
512,35,80.57
512,36,80.58
512,37,135.51
512,38,115.54
512,39,125.71
512,40,135.54
512,41,125.61
512,42,125.66
512,43,125.67
512,44,70.63
512,45,70.67
512,46,60.62
512,47,70.67
512,48,70.64
512,49,80.62
1024,0,81.33
1024,1,71.30
1024,2,71.30
1024,3,78.78
1024,4,71.26
1024,5,71.29
1024,6,81.26
1024,7,81.43
1024,8,91.26
1024,9,71.24
1024,10,81.23
1024,11,81.24
1024,12,81.19
1024,13,91.24
1024,14,81.20
1024,15,81.21
1024,16,136.23
