run,l1_hit,l2_hit,l3_hit,ram_access
0,32,32,56,196
1,32,32,52,200
2,32,32,48,204
3,40,40,64,208
4,32,40,56,200
5,32,32,56,212
6,40,32,56,220
7,32,40,58,217
8,33,33,50,216
9,34,33,59,220
10,33,33,50,220
11,33,33,58,221
12,33,34,50,221
13,34,33,58,220
14,33,34,50,221
15,33,33,58,221
16,33,33,50,221
17,33,33,59,216
18,34,34,50,187
19,34,33,59,179
20,33,33,50,187
21,34,33,59,187
22,34,33,52,180
23,32,32,56,752
24,32,32,48,180
25,32,32,60,180
26,32,32,48,684
27,32,32,52,180
28,32,60,48,184
29,32,32,48,184
30,32,32,56,184
31,32,32,48,184
32,32,32,56,184
33,32,32,48,184
34,32,32,56,184
35,32,32,48,748
36,32,32,56,188
37,32,32,52,184
38,32,32,56,184
39,32,32,52,180
40,32,32,56,180
41,32,32,48,184
42,32,32,48,184
43,32,32,56,188
44,32,32,48,180
45,32,32,56,180
46,32,32,48,184
47,32,32,56,184
48,32,32,48,184
49,32,32,56,184
50,32,32,48,184
51,32,32,60,184
52,32,32,48,188
53,32,32,56,180
54,32,32,48,180
55,32,32,56,184
56,32,32,48,184
57,32,32,48,476
58,32,32,56,180
59,32,32,52,180
60,32,32,56,184
61,32,32,52,212
62,32,32,56,184
63,32,32,48,184
64,32,32,56,180
65,32,32,48,184
66,32,32,60,180
67,32,32,48,184
68,32,32,56,184
69,32,32,48,184
70,32,32,56,184
71,32,32,52,184
72,32,32,48,180
73,32,32,56,180
74,32,32,48,184
75,32,32,56,180
76,32,32,48,180
77,32,32,56,184
78,32,32,48,180
79,32,32,56,184
80,32,32,52,184
81,32,32,56,184
82,32,32,44,184
83,32,32,56,184
84,32,32,48,180
85,32,32,48,180
86,32,32,56,184
87,32,32,48,448
88,32,32,56,180
89,32,32,48,184
90,32,32,56,180
91,32,32,48,184
92,32,32,56,180
93,32,32,48,184
94,32,32,56,184
95,32,32,48,184
96,32,32,56,180
97,32,32,48,184
98,32,32,60,180
99,32,32,52,184
100,32,32,48,184
101,32,32,56,180
102,32,32,52,180
103,32,32,56,184
104,32,32,48,188
105,32,32,60,180
106,32,32,48,184
107,32,32,56,180
108,32,32,48,180
109,32,32,56,180
110,32,32,48,512
111,32,32,60,184
112,32,32,48,184
113,32,32,60,180
114,32,32,48,184
115,32,32,48,184
116,32,32,56,184
117,32,32,48,180
118,32,32,56,180
119,32,32,48,184
120,32,32,56,180
121,32,32,44,184
122,32,32,60,180
123,32,32,52,180
124,32,32,52,672
125,32,32,48,180
126,32,32,56,176
127,32,32,48,180
128,32,32,56,180
129,32,32,48,184
130,32,32,48,180
131,32,32,56,188
132,32,32,48,184
133,32,32,56,184
134,32,32,48,184
135,32,32,56,184
136,32,32,48,180
137,32,32,60,184
138,32,32,48,184
139,32,32,52,184
140,32,32,48,184
141,32,32,56,184
142,32,32,48,188
143,32,32,48,180
144,32,32,60,180
145,32,32,52,184
146,32,32,60,184
147,32,32,52,180
148,32,32,56,184
149,32,32,48,180
150,32,32,56,184
151,32,32,48,180
152,32,32,56,180
153,32,32,48,184
154,32,32,56,180
155,32,32,48,180
156,32,32,56,180
157,32,32,48,180
158,32,32,48,184
159,32,32,60,184
160,32,32,48,180
161,32,32,56,184
162,32,32,48,184
163,32,32,60,184
164,32,32,48,184
165,32,32,56,184
166,32,32,48,184
167,32,32,56,180
168,32,32,48,184
169,32,32,56,808
170,32,32,48,188
171,32,32,56,184
172,32,32,48,184
173,32,32,48,184
174,32,32,56,184
175,32,32,48,180
176,32,32,56,184
177,32,32,48,180
178,32,32,56,368
179,32,32,48,180
180,32,32,56,184
181,32,32,48,180
182,32,32,56,184
183,32,32,48,184
184,32,32,60,184
185,32,32,48,184
186,32,32,48,180
187,32,36,48,184
188,32,32,48,188
189,32,32,60,184
190,32,32,48,184
191,32,32,56,184
192,32,32,48,184
193,32,32,56,180
194,32,32,48,184
195,32,32,60,180
196,32,32,52,180
197,32,32,60,184
198,32,32,48,188
199,32,32,56,180
200,32,32,48,184
201,32,32,48,184
202,32,32,60,184
203,32,32,48,184
204,32,32,56,188
205,32,32,48,180
206,32,32,56,184
207,32,32,48,184
208,32,32,56,404
209,32,32,48,184
210,32,32,56,180
211,32,32,48,184
212,32,32,56,184
213,32,32,48,184
214,32,32,56,824
215,32,32,48,180
216,32,32,48,184
217,32,32,56,184
218,32,32,52,180
219,32,32,60,184
220,32,32,48,184
221,32,32,56,184
222,32,32,48,184
223,32,32,56,180
224,32,32,48,184
225,32,32,56,180
226,32,32,48,184
227,32,32,56,184
228,32,32,48,428
229,32,32,60,180
230,32,32,48,180
231,32,32,48,180
232,32,32,56,180
233,32,32,48,180
234,32,32,56,184
235,32,32,48,180
236,32,32,56,180
237,32,32,44,180
238,32,32,60,180
239,32,32,52,180
240,32,32,56,188
241,32,32,52,184
242,32,32,56,192
243,32,32,48,180
244,32,32,48,180
245,32,32,56,184
246,32,32,48,184
247,32,32,56,192
248,32,32,48,180
249,32,32,56,180
250,32,32,44,184
251,32,32,56,188
252,32,32,48,188
253,32,32,60,180
254,32,32,52,184
255,32,32,56,180
256,32,32,48,184
257,32,32,56,184
258,32,32,48,184
259,32,32,48,196
260,32,32,48,184
261,32,32,48,184
262,32,32,56,180
263,32,32,48,180
264,32,32,56,184
265,32,32,52,180
266,32,32,56,184
267,32,32,48,184
268,32,32,56,184
269,32,32,52,184
270,32,32,60,184
271,32,32,48,184
272,32,32,56,184
273,32,32,44,184
274,32,32,48,184
275,32,32,56,204
276,32,32,48,184
277,32,32,56,180
278,32,32,48,184
279,32,32,56,184
280,32,32,48,180
281,32,32,56,180
282,32,32,48,184
283,32,32,56,180
284,32,32,48,180
285,32,32,60,184
286,32,32,48,184
287,32,32,60,184
288,32,32,48,184
289,32,32,48,184
290,32,32,60,180
291,32,32,48,184
292,32,32,56,188
293,32,32,48,184
294,32,32,60,232
295,32,32,48,184
296,32,32,60,184
297,32,32,48,180
298,32,32,56,184
299,32,32,48,184
300,32,32,56,184
301,32,32,48,184
302,32,32,56,184
303,32,32,48,180
304,32,32,48,180
305,32,32,52,184
306,32,32,48,180
307,32,32,60,180
308,32,32,48,184
309,32,32,56,180
310,32,32,48,184
311,32,32,56,180
312,32,32,52,180
313,32,32,56,184
314,32,32,48,188
315,32,32,56,448
316,32,32,48,184
317,32,32,48,508
318,32,36,48,184
319,32,32,48,184
320,32,32,56,180
321,32,32,52,184
322,32,32,56,180
323,32,32,48,184
324,32,32,56,184
325,32,32,48,184
326,32,32,56,184
327,32,32,48,184
328,32,32,56,184
329,32,32,48,180
330,32,32,56,184
331,32,32,48,184
332,32,32,48,180
333,32,32,56,184
334,32,32,48,180
335,32,32,56,184
336,32,32,48,184
337,32,32,56,184
338,32,32,48,180
339,32,32,56,184
340,32,32,48,184
341,32,32,52,184
342,32,32,44,184
343,32,32,56,184
344,32,32,52,180
345,32,32,56,820
346,32,32,52,184
347,32,32,48,700
348,32,32,56,180
349,32,32,48,184
350,32,32,56,184
351,32,32,48,184
352,32,32,56,184
353,32,32,48,184
354,32,32,56,180
355,32,32,48,184
356,32,32,60,184
357,32,32,48,184
358,32,32,56,180
359,32,32,48,184
360,32,32,56,180
361,32,32,48,184
362,32,32,48,184
363,32,32,56,184
364,32,32,52,180
365,32,32,56,180
366,32,32,48,180
367,32,32,56,180
368,32,32,48,180
369,32,32,56,184
370,32,32,48,184
371,32,32,56,184
372,32,32,48,180
373,32,32,56,180
374,32,32,48,180
375,32,32,48,180
376,32,32,60,180
377,32,32,48,184
378,32,32,56,500
379,32,32,48,180
380,32,32,56,180
381,32,32,48,180
382,32,32,56,180
383,32,32,48,184
384,32,32,56,180
385,32,32,52,180
386,32,32,56,184
387,32,32,48,184
388,32,32,56,184
389,32,32,48,184
390,32,32,52,180
391,32,32,60,184
392,32,32,48,180
393,32,32,56,184
394,32,32,48,180
395,32,32,56,184
396,32,32,52,184
397,32,32,60,176
398,32,32,52,184
399,32,32,56,192
400,32,32,48,184
401,32,32,56,180
402,32,32,48,184
403,32,32,56,184
404,32,32,48,184
405,32,32,48,180
406,32,32,56,180
407,32,32,48,184
408,32,32,56,184
409,32,32,48,184
410,32,32,56,184
411,32,32,48,556
412,32,32,56,184
413,32,32,48,184
414,32,32,56,184
415,32,32,48,184
416,32,32,56,184
417,32,32,48,184
418,32,32,48,188
419,32,36,48,184
420,32,32,48,180
421,32,32,56,188
422,32,32,52,184
423,32,32,56,176
424,32,32,48,184
425,32,32,60,180
426,32,32,48,180
427,32,32,56,184
428,32,32,52,180
429,32,32,56,184
430,32,32,44,188
431,32,32,56,184
432,32,32,48,180
433,32,32,48,184
434,32,32,52,184
435,32,32,48,184
436,32,32,56,188
437,32,32,48,184
438,32,32,56,432
439,32,32,48,188
440,32,32,56,180
441,32,32,48,184
442,32,32,56,184
443,32,32,48,184
444,32,32,56,184
445,32,32,48,180
446,32,32,60,184
447,32,32,48,184
448,32,32,48,180
449,32,32,56,184
450,32,32,48,188
451,32,32,60,176
452,32,32,48,180
453,32,32,56,184
454,32,32,48,184
455,32,32,60,184
456,32,32,48,492
457,32,32,56,180
458,32,32,48,188
459,32,32,60,180
460,32,32,48,184
461,32,32,56,184
462,32,32,48,184
463,32,32,48,184
464,32,32,56,204
465,32,32,48,184
466,32,32,56,184
467,32,32,48,184
468,32,32,56,184
469,32,32,52,184
470,32,32,60,180
471,32,32,48,184
472,32,32,56,184
473,32,32,44,180
474,32,32,56,184
475,32,32,48,184
476,32,32,52,184
477,32,36,48,184
478,32,32,48,180
479,32,32,56,180
480,32,32,48,348
481,32,32,56,184
482,32,32,48,180
483,32,32,56,184
484,32,32,48,184
485,32,32,56,184
486,32,32,48,184
487,32,32,56,184
488,32,32,48,180
489,32,32,60,696
490,32,32,48,180
491,32,32,48,184
492,32,32,56,296
493,32,32,48,184
494,32,32,60,184
495,32,32,48,184
496,32,32,60,184
497,32,32,48,180
498,32,32,56,184
499,32,32,48,180
500,32,32,56,188
501,32,32,52,180
502,32,32,60,184
503,32,32,48,184
504,32,32,56,180
505,32,32,48,184
506,32,32,48,184
507,32,32,56,180
508,32,32,48,180
509,32,32,56,184
510,32,32,48,184
511,32,32,56,184
512,32,32,48,180
513,32,32,60,180
514,32,32,48,180
515,32,32,56,184
516,32,32,48,184
517,32,32,56,676
518,32,32,48,180
519,32,32,56,180
520,32,32,48,180
521,32,32,48,184
522,32,32,56,184
523,32,32,48,184
524,32,32,56,184
525,32,32,48,184
526,32,32,60,180
527,32,32,48,184
528,32,32,56,184
529,32,32,48,184
530,32,32,60,180
531,32,32,48,184
532,32,32,60,180
533,32,32,48,184
534,32,32,48,180
535,32,32,48,180
536,32,32,48,180
537,32,32,56,180
538,32,32,48,184
539,32,32,52,184
540,32,32,52,184
541,32,32,56,180
542,32,32,48,184
543,32,32,56,184
544,32,32,48,184
545,32,32,56,180
546,32,32,52,180
547,32,32,56,184
548,32,32,48,180
549,32,32,48,184
550,32,32,56,184
551,32,32,48,184
552,32,32,56,188
553,32,32,48,184
554,32,32,56,176
555,32,32,48,712
556,32,32,56,180
557,32,32,48,184
558,32,32,56,184
559,32,32,48,184
560,32,32,56,180
561,32,32,48,184
562,32,32,56,184
563,32,32,48,180
564,32,32,48,180
565,32,32,60,180
566,32,32,48,180
567,32,32,56,180
568,32,32,48,184
569,32,32,56,184
570,32,32,48,184
571,32,32,56,184
572,32,32,48,180
573,32,32,60,852
574,32,32,48,184
575,32,32,60,180
576,32,32,48,184
577,32,32,56,180
578,32,32,48,184
579,32,32,48,184
580,32,32,56,180
581,32,32,52,176
582,32,32,56,184
583,32,32,48,184
584,32,32,60,184
585,32,32,48,184
586,32,32,56,184
587,32,32,48,184
588,32,32,56,312
589,32,32,48,184
590,32,32,56,184
591,32,32,48,184
592,32,32,48,180
593,32,32,48,184
594,32,32,52,180
595,32,32,56,180
596,32,32,48,184
597,32,32,56,180
598,32,32,48,184
599,32,32,56,180
600,32,32,48,184
601,32,32,56,180
602,32,32,48,184
603,32,32,56,184
604,32,32,48,180
605,32,32,56,180
606,32,32,48,184
607,32,32,48,184
608,32,32,60,756
609,32,32,48,184
610,32,32,56,184
611,32,32,48,184
612,32,32,56,184
613,32,32,48,184
614,32,32,56,184
615,32,32,48,184
616,32,32,56,180
617,32,32,48,184
618,32,32,56,180
619,32,32,48,180
620,32,32,56,180
621,32,32,48,180
622,32,32,48,184
623,32,32,52,188
624,32,32,48,184
625,32,32,52,184
626,32,32,48,180
627,32,32,60,184
628,32,32,48,184
629,32,32,56,556
630,32,32,48,184
631,32,32,56,184
632,32,32,48,184
633,32,32,56,176
634,32,32,52,184
635,32,32,60,180
636,32,32,48,184
637,32,32,48,184
638,32,32,56,184
639,32,32,52,180
640,32,32,56,180
641,32,32,48,180
642,32,32,56,180
643,32,32,48,180
644,32,32,60,180
