array_size_kb,stride_bytes,avg_cycles_per_access
4,8,2.217
4,16,2.180
4,32,2.182
4,64,2.180
4,128,2.182
4,256,2.150
4,512,2.083
4,1024,2.089
8,8,2.090
8,16,2.088
8,32,2.089
8,64,2.082
8,128,2.006
8,256,2.000
8,512,2.078
8,1024,2.012
16,8,2.007
16,16,2.006
16,32,2.006
16,64,2.005
16,128,2.006
16,256,2.006
16,512,2.003
16,1024,2.331
32,8,2.010
32,16,2.010
32,32,2.013
32,64,2.008
32,128,2.009
32,256,2.007
32,512,2.078
32,1024,2.323
64,8,2.016
64,16,2.094
64,32,3.213
64,64,6.422
64,128,6.484
64,256,6.490
64,512,6.530
64,1024,11.098
128,8,2.014
128,16,2.086
128,32,3.212
128,64,6.417
128,128,6.473
128,256,6.487
128,512,6.529
128,1024,11.124
256,8,2.019
256,16,2.128
256,32,3.267
256,64,6.517
256,128,6.552
256,256,6.557
256,512,6.601
256,1024,11.254
512,8,2.100
512,16,2.788
512,32,4.359
512,64,8.673
512,128,9.251
512,256,9.610
512,512,8.345
512,1024,12.418
1024,8,2.131
1024,16,2.786
1024,32,4.346
1024,64,8.667
1024,128,9.409
1024,256,9.871
1024,512,8.343
1024,1024,12.413
2048,8,2.200
2048,16,2.788
2048,32,4.360
2048,64,8.673
2048,128,9.480
2048,256,10.010
2048,512,8.347
2048,1024,12.422
4096,8,2.303
4096,16,2.782
4096,32,4.356
4096,64,8.680
4096,128,9.478
4096,256,10.028
4096,512,8.348
4096,1024,12.413
8192,8,2.439
8192,16,2.849
8192,32,4.359
8192,64,8.669
8192,128,9.472
8192,256,10.034
8192,512,8.344
8192,1024,12.425
16384,8,2.109
16384,16,3.705
16384,32,4.478
16384,64,8.674
16384,128,9.474
16384,256,10.035
16384,512,8.351
16384,1024,12.420
32768,8,2.112
32768,16,2.798
32768,32,6.671
32768,64,13.480
32768,128,14.549
32768,256,16.401
32768,512,15.456
32768,1024,17.107
65536,8,2.260
65536,16,3.068
65536,32,5.637
65536,64,15.026
65536,128,22.778
65536,256,26.454
65536,512,25.318
65536,1024,25.862
131072,8,2.647
131072,16,3.516
131072,32,6.607
131072,64,15.409
131072,128,22.914
131072,256,26.910
131072,512,25.340
131072,1024,26.043
