run,latency_cycles
0,1.252932
1,1.229481
2,2.412252
3,2.186780
4,2.040766
5,1.942686
6,1.907523
7,1.907926
8,1.905537
9,0.857324
10,1.850852
11,1.908047
12,0.902917
13,1.864440
14,1.906045
15,1.866671
16,1.906742
17,1.909486
18,1.907600
19,1.907172
20,1.905044
21,0.903219
22,0.883499
23,1.907544
24,1.907086
25,1.903874
26,1.912918
27,0.903216
28,1.859609
29,1.850576
30,1.908413
31,1.907665
32,1.906371
33,0.902908
34,1.862361
35,1.906675
36,0.903268
37,1.902476
38,1.905522
39,0.902185
40,1.907439
41,0.902599
42,0.904332
43,1.907699
44,1.907442
45,1.908214
46,1.905426
47,1.855807
48,1.905656
49,1.905771
50,1.908162
51,1.909521
52,0.902222
53,1.907457
54,1.906886
55,1.906671
56,1.854365
57,1.906950
58,1.908238
59,1.906408
60,1.906844
61,1.907056
62,0.903236
63,0.903598
64,1.906934
65,1.907778
66,1.906296
67,1.907198
68,1.906568
69,1.862344
70,1.906678
71,1.907621
72,1.906845
73,1.907520
74,1.906266
75,1.906905
76,1.907225
77,1.906774
78,1.907039
79,0.902235
80,1.858897
81,1.906088
82,0.902896
83,1.881692
84,0.902829
85,1.877132
86,0.902954
87,1.874637
88,1.908183
89,1.905672
90,1.905916
91,1.861519
92,0.847313
93,0.880628
94,1.854798
95,1.907185
96,1.906274
97,0.902232
98,1.852039
99,1.894848
100,1.906087
101,1.903180
102,1.907117
103,1.906620
104,1.908098
105,1.908234
106,0.902036
107,1.906818
108,0.902280
109,1.853357
110,1.861134
111,1.906012
112,1.900912
113,1.907800
114,1.872401
115,1.852830
116,1.906056
117,1.862991
118,1.858037
119,0.902079
120,1.907387
121,1.908604
122,1.907642
123,1.907792
124,1.906183
125,1.906898
126,1.906108
127,1.907533
128,1.907020
129,1.907759
130,1.907419
131,1.907632
132,0.903475
133,1.905840
134,1.907428
135,1.907836
136,0.903107
137,1.871343
138,1.908574
139,1.905386
140,1.906117
141,1.859155
142,1.850612
143,1.907842
144,1.907280
145,1.906584
146,1.907415
147,1.907400
148,1.906287
149,0.902853
150,1.906483
151,1.907194
152,0.902355
153,1.878022
154,1.901628
155,1.907200
156,1.907710
157,1.906970
158,1.918167
159,1.906598
160,1.907015
161,1.906027
162,1.906974
163,1.908732
164,0.903349
165,1.907444
166,1.906178
167,1.906974
168,1.907141
169,1.907654
170,1.906935
171,1.907485
172,1.908256
173,1.907251
174,1.907345
175,0.901932
176,1.861493
177,1.857858
178,1.905979
179,1.904631
180,1.905910
181,1.908038
182,1.906900
183,1.906458
184,1.907248
185,1.906084
186,1.907448
187,1.907926
188,1.870812
189,0.903072
190,1.898738
191,1.907498
192,1.907144
193,1.907316
194,1.906086
195,1.861490
196,0.902440
197,1.851792
198,1.891207
199,1.907150
200,1.886816
201,0.848516
202,1.898968
203,1.907024
204,1.906304
205,1.851674
206,1.906253
207,1.907230
208,1.905623
209,1.907437
210,1.906707
211,1.907936
212,1.906216
213,1.902416
214,1.906075
215,0.888261
216,1.908049
217,1.889942
218,1.907880
219,1.906946
220,1.907696
221,1.908199
222,1.907698
223,1.907927
224,1.906473
225,1.907428
226,1.906739
227,1.907302
228,1.906353
229,1.859620
230,0.902028
231,1.856652
232,1.906108
233,0.902966
234,1.872419
235,0.853802
236,1.907545
237,1.907714
238,1.906822
239,1.907540
240,1.907444
241,1.906153
242,1.907251
243,1.906432
244,1.857964
245,1.900802
246,1.907668
247,1.851046
248,1.907140
249,1.906357
250,1.872842
251,0.902310
252,1.853826
253,0.903222
254,1.869798
255,1.907578
256,1.906912
257,1.906284
258,1.906839
259,1.906473
260,1.907111
261,1.908885
262,1.909015
263,1.905707
264,1.906694
265,1.906451
266,1.898394
267,1.862256
268,0.903031
269,1.855485
270,0.903079
271,1.867158
272,1.907464
273,1.907588
274,1.906386
275,1.906881
276,1.907893
277,0.903056
278,1.845236
279,1.906264
280,1.905261
281,1.851803
282,1.906608
283,1.907295
284,1.906691
285,1.907447
286,0.901984
287,1.863437
288,1.906895
289,1.907326
290,1.909584
291,1.852709
292,1.905092
293,1.907564
294,1.906571
295,1.907724
296,0.903082
297,1.888438
298,1.905968
299,1.884078
300,1.906152
301,1.879176
302,1.907818
303,1.893818
304,1.905910
305,1.906228
306,1.852516
307,1.904742
308,1.905712
309,0.860444
310,1.858765
311,1.883224
312,1.907096
313,1.906739
314,0.903004
315,1.867774
316,1.907889
317,1.907875
318,1.908541
319,1.906265
320,0.893787
321,1.906317
322,1.886990
323,0.904343
324,1.886569
325,0.904142
326,0.902461
327,1.906433
328,1.864200
329,1.852410
330,1.905729
331,1.905958
332,1.905104
333,1.862979
334,1.880815
335,1.907038
336,1.906031
337,1.908081
338,1.909057
339,1.905306
340,1.906053
341,1.905073
342,1.850759
343,1.908080
344,1.907145
345,1.906461
346,1.908349
347,1.905370
348,1.908406
349,0.903062
350,0.902888
351,1.906303
352,0.888376
353,1.856163
354,1.906798
355,1.908231
356,1.905126
357,1.905687
358,1.879256
359,1.905924
360,1.907879
361,1.906302
362,1.905882
363,1.905075
364,1.879693
365,1.906374
366,1.907851
367,1.906355
368,1.906988
369,1.906718
370,1.855832
371,1.878783
372,1.853521
373,1.903653
374,0.903075
375,1.891426
376,1.853863
377,1.906212
378,1.907658
379,1.906466
380,0.903456
381,1.882524
382,1.907008
383,1.906525
384,1.907302
385,1.907816
386,1.906860
387,1.907305
388,1.907459
389,1.910643
390,1.905416
391,1.852492
392,1.907590
393,1.908577
394,1.907308
395,1.906514
396,1.876298
397,0.903261
398,1.905869
399,1.901271
400,1.906778
401,1.901602
402,1.906566
403,1.892252
404,1.907748
405,1.913129
406,1.907129
407,0.903748
408,1.903934
409,1.906280
410,1.905220
411,1.866834
412,1.907454
413,1.909119
414,0.902389
415,1.855908
416,1.906987
417,1.907552
418,0.902704
419,1.907838
420,1.906986
421,0.903703
422,0.861813
423,1.907245
424,1.907525
425,1.906796
426,1.907113
427,1.906390
428,0.902894
429,1.881919
430,1.907081
431,1.906340
432,1.907170
433,1.907277
434,1.907142
435,1.906840
436,1.906325
437,1.851764
438,1.906446
439,1.907648
440,1.906575
441,0.903117
442,1.879682
443,1.907288
444,0.902407
445,0.850274
446,1.907434
447,1.907432
448,0.902214
449,1.876696
450,0.902451
451,1.851616
452,1.906342
453,1.907130
454,1.907846
455,1.906453
456,1.907017
457,1.906311
458,0.903157
459,1.881920
460,1.907178
461,1.906354
462,1.907330
463,1.907346
464,1.907380
465,1.907384
466,1.906522
467,1.907561
468,1.885091
469,1.907098
470,1.906304
471,1.906996
472,0.903048
473,1.906214
474,1.907008
475,1.906365
476,1.907295
477,1.883988
478,1.907004
479,1.906129
480,1.907396
481,1.907651
482,1.906916
483,1.907206
484,1.905936
485,1.907638
486,1.906338
487,1.906992
488,1.906344
489,1.907196
490,0.903102
491,0.896294
492,1.907403
493,1.906962
494,1.907393
495,1.878229
496,1.907108
497,1.906293
498,1.907141
499,0.902882
