ICOUNT,CYCLES
10,83.51
10,183.34
10,82.57
10,183.52
10,82.77
10,182.43
10,83.40
10,82.66
10,182.10
10,82.32
10,181.86
10,82.57
10,82.32
10,181.85
10,82.27
10,181.96
10,82.90
10,82.15
10,182.61
10,82.38
10,194.36
10,82.25
10,181.86
10,82.20
10,82.01
10,182.51
10,82.36
10,182.08
10,82.39
10,81.74
10,182.29
10,82.10
10,181.51
10,81.80
10,81.73
10,181.94
10,81.51
10,181.97
10,81.69
10,194.92
10,83.15
10,82.36
10,182.24
10,81.88
10,182.58
10,81.99
10,82.37
10,182.11
10,81.80
10,182.05
12,85.20
12,185.03
12,84.74
12,184.83
12,84.52
12,85.28
12,185.30
12,85.04
12,84.75
12,197.35
12,85.93
12,198.26
12,85.66
12,197.81
12,84.93
12,84.85
12,185.60
12,85.37
12,185.32
12,85.64
12,185.60
12,85.60
12,85.20
12,185.61
12,85.25
12,148.29
12,85.02
12,197.63
12,85.18
12,85.43
12,197.87
12,85.74
12,197.94
12,85.08
12,84.72
12,197.91
12,85.48
12,185.45
12,85.26
12,184.89
12,85.56
12,85.52
12,185.35
12,85.20
12,185.14
12,84.68
12,197.79
12,85.18
12,85.23
12,185.22
14,168.92
14,69.30
14,68.83
14,169.51
14,69.19
14,68.65
14,169.22
14,68.59
14,69.35
14,181.06
14,69.18
14,68.88
14,170.73
14,69.72
14,169.91
14,69.39
14,68.89
14,169.50
14,68.85
14,69.45
14,168.98
14,69.28
14,69.19
14,169.71
14,69.29
14,69.72
14,169.23
14,68.60
14,69.40
14,168.65
14,69.25
14,68.86
14,169.35
14,68.66
14,69.31
14,181.30
14,69.34
14,69.05
14,169.82
14,69.28
14,169.84
14,69.26
14,68.75
14,169.40
14,68.76
14,69.32
14,168.83
14,69.47
14,69.04
14,169.54
16,87.06
16,86.81
16,199.52
16,86.80
16,199.54
16,86.81
16,199.35
16,86.68
16,87.81
16,187.77
16,87.65
16,86.65
16,199.88
16,87.76
16,199.90
16,87.53
16,200.07
16,87.42
16,187.70
16,87.25
16,87.58
16,187.50
16,87.61
16,187.36
16,87.42
16,187.28
16,87.18
16,87.15
16,187.32
16,87.61
16,187.50
16,87.68
16,187.58
16,87.62
16,200.24
16,87.33
16,87.48
16,187.50
16,87.63
16,187.54
16,87.67
16,169.16
16,87.18
16,87.28
16,199.81
16,87.17
16,200.53
16,87.72
16,187.10
16,87.19
18,193.65
18,81.07
18,80.88
18,182.89
18,82.66
18,181.43
18,81.73
18,81.16
18,181.37
18,81.04
18,181.65
18,80.90
18,81.23
18,180.69
18,81.09
18,180.61
18,81.43
18,81.09
18,181.27
18,80.79
18,194.05
18,81.11
18,181.24
18,81.09
18,81.19
18,181.03
18,81.72
18,180.76
18,81.25
18,80.66
18,181.09
18,80.62
18,180.98
18,80.52
18,80.88
18,181.20
18,80.80
18,181.95
18,84.17
18,81.01
18,193.93
18,80.66
18,81.24
18,193.69
18,81.23
18,181.16
18,82.46
18,82.01
18,182.23
18,81.29
20,57.29
20,56.80
20,157.61
20,57.06
20,56.51
20,157.22
20,56.50
20,57.13
